Instancia,Modelo,Solver,Resultado,Tiempo
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist100.dat,SCF,Gurobi,649.3313751586169,11.132832050323486
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist50.dat,SCF,Gurobi,399.4863093550114,2.0545449256896973
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist75.dat,SCF,Gurobi,534.4118895989344,3.738628625869751
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle.dat,SCF,Gurobi,280.16554251254587,0.28623414039611816
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle2.dat,SCF,Gurobi,459.37973738844653,0.17753887176513672
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle3.dat,SCF,Gurobi,377.51069037614184,0.48171186447143555
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle4.dat,SCF,Gurobi,420.57583307222353,0.3091728687286377
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle5.dat,SCF,Gurobi,420.57583307222353,0.3036947250366211
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle6.dat,SCF,Gurobi,362.0191671138099,0.22293710708618164
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordMin134.dat,SCF,Gurobi,4126.723012062298,32.0927939414978
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordMin27.dat,SCF,Gurobi,2399.265199804552,0.3805069923400879
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist100.dat,NODE-DL,Gurobi,642.4530126693361,2.0251855850219727
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist50.dat,NODE-DL,Gurobi,380.8165487234343,0.5338058471679688
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist75.dat,NODE-DL,Gurobi,531.0523301260047,0.8393537998199463
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle.dat,NODE-DL,Gurobi,276.5557324843989,0.0910789966583252
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle2.dat,NODE-DL,Gurobi,453.054063575981,0.10572147369384766
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle3.dat,NODE-DL,Gurobi,354.07517354424,0.20046424865722656
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle4.dat,NODE-DL,Gurobi,403.18219363384713,0.17056536674499512
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle5.dat,NODE-DL,Gurobi,403.18219363384713,0.15309929847717285
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle6.dat,NODE-DL,Gurobi,362.0191671138099,0.13763117790222168
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordMin134.dat,NODE-DL,Gurobi,3558.0515257400675,1.9988634586334229
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordMin27.dat,NODE-DL,Gurobi,2215.0406946935195,0.12765932083129883
